"Base Lot Name","PJ-0304080030-2"
"Wafer Flow Name","WaferFlow/LWPRD/CISCO-DARK"
"Recipe Step From","Head"
"Recipe Step To","Tail"

"sec","5_LLS_12-12_VSRA Press.(Pa) [Source]_867_PJ-0305114234-2_01","5_LLS_12-12_VSRA Press.(Pa) [Source]_867_PJ-0305114234-2_01","5_LLS_12-12_VSRA Press.(Pa) [Source]_867_PJ-0305114234-2_02","5_LLS_12-12_VSRA Press.(Pa) [Source]_867_PJ-0305114234-2_02","5_LLS_12-12_VSRA Press.(Pa) [Source]_867_PJ-0305114234-2_03","5_LLS_12-12_VSRA Press.(Pa) [Source]_867_PJ-0305114234-2_03","5_LLS_12-12_VSRA Press.(Pa) [Source]_865_PJ-0305110002-2_01","5_LLS_12-12_VSRA Press.(Pa) [Source]_865_PJ-0305110002-2_01","5_LLS_12-12_VSRA Press.(Pa) [Source]_859_PJ-0304110453-2_01","5_LLS_12-12_VSRA Press.(Pa) [Source]_859_PJ-0304110453-2_01","5_LLS_12-12_VSRA Press.(Pa) [Source]_859_PJ-0304110453-2_02","5_LLS_12-12_VSRA Press.(Pa) [Source]_859_PJ-0304110453-2_02","5_LLS_12-12_VSRA Press.(Pa) [Source]_859_PJ-0304110453-2_03","5_LLS_12-12_VSRA Press.(Pa) [Source]_859_PJ-0304110453-2_03","5_LLS_12-12_VSRA Press.(Pa) [Source]_859_PJ-0304110453-2_04","5_LLS_12-12_VSRA Press.(Pa) [Source]_859_PJ-0304110453-2_04","5_LLS_12-12_VSRA Press.(Pa) [Source]_859_PJ-0304110453-2_05","5_LLS_12-12_VSRA Press.(Pa) [Source]_859_PJ-0304110453-2_05","5_LLS_12-12_VSRA Press.(Pa) [Source]_857_PJ-0304080030-2_01","5_LLS_12-12_VSRA Press.(Pa) [Source]_857_PJ-0304080030-2_01","5_LLS_12-12_VSRA Press.(Pa) [Source]_839_PJ-0225080610-2_01","5_LLS_12-12_VSRA Press.(Pa) [Source]_839_PJ-0225080610-2_01","5_LLS_12-12_VSRA Press.(Pa) [Source]_839_PJ-0225080610-2_02","5_LLS_12-12_VSRA Press.(Pa) [Source]_839_PJ-0225080610-2_02","5_LLS_12-12_VSRA Press.(Pa) [Source]_839_PJ-0225080610-2_03","5_LLS_12-12_VSRA Press.(Pa) [Source]_839_PJ-0225080610-2_03","5_LLS_12-12_VSRA Press.(Pa) [Source]_839_PJ-0225080610-2_04","5_LLS_12-12_VSRA Press.(Pa) [Source]_839_PJ-0225080610-2_04","5_LLS_12-12_VSRA Press.(Pa) [Source]_839_PJ-0225080610-2_05","5_LLS_12-12_VSRA Press.(Pa) [Source]_839_PJ-0225080610-2_05","5_LLS_12-12_VSRA Press.(Pa) [Source]_839_PJ-0225080610-2_06","5_LLS_12-12_VSRA Press.(Pa) [Source]_839_PJ-0225080610-2_06","5_LLS_12-12_VSRA Press.(Pa) [Source]_839_PJ-0225080610-2_07","5_LLS_12-12_VSRA Press.(Pa) [Source]_839_PJ-0225080610-2_07","5_LLS_12-12_VSRA Press.(Pa) [Source]_839_PJ-0225080610-2_08","5_LLS_12-12_VSRA Press.(Pa) [Source]_839_PJ-0225080610-2_08"
"sec","step","valid","step","valid","step","valid","step","valid","step","valid","step","valid","step","valid","step","valid","step","valid","step","valid","step","valid","step","valid","step","valid","step","valid","step","valid","step","valid","step","valid","step","valid"
"0.00","PreWait","5.52","PreWait","5.06","PreWait","3.24","PreWait","3.13","PreWait","1.48","PreWait","1.47","PreWait","1.47","PreWait","1.47","PreWait","3.16","PreWait","3.12","PreWait","1.47","PreWait","1.45","PreWait","1.48","PreWait","1.46","PreWait","1.31","PreWait","1.33","PreWait","1.60","PreWait","3.18"
"1.00","PreWait","8.81","PreWait","9.32","PreWait","2.71","PreWait","2.76","PreWait","6.83","PreWait","6.24","PreWait","8.06","PreWait","8.06","PreWait","2.64","PreWait","2.62","PreWait","8.08","PreWait","5.35","PreWait","8.26","PreWait","8.10","PreWait","1.28","PreWait","3.02","PreWait","8.36","PreWait","2.66"
"2.00","PreWait","8.59","PreWait","7.67","PreWait","2.44","PreWait","2.48","PreWait","7.33","PreWait","7.37","PreWait","6.77","PreWait","6.77","PreWait","2.37","PreWait","2.36","PreWait","6.80","PreWait","7.40","PreWait","6.91","PreWait","6.80","PreWait","8.27","PreWait","7.68","PreWait","6.97","PreWait","2.39"
"3.00","PreWait","7.18","PreWait","6.65","PreWait","2.19","PreWait","2.23","PreWait","6.30","PreWait","6.31","PreWait","5.95","PreWait","5.95","PreWait","2.14","PreWait","2.12","PreWait","5.97","PreWait","6.33","PreWait","6.04","PreWait","5.97","PreWait","6.91","PreWait","6.50","PreWait","6.10","PreWait","2.15"
"4.00","PreWait","6.38","PreWait","5.92","PreWait","1.98","PreWait","2.02","PreWait","5.65","PreWait","5.64","PreWait","5.33","PreWait","5.34","PreWait","1.94","PreWait","1.93","PreWait","5.35","PreWait","5.65","PreWait","5.42","PreWait","5.35","PreWait","6.05","PreWait","5.77","PreWait","5.43","PreWait","1.96"
"5.00","PreWait","5.69","PreWait","5.31","PreWait","1.81","PreWait","1.84","PreWait","5.08","PreWait","5.08","PreWait","4.83","PreWait","4.84","PreWait","1.77","PreWait","1.76","PreWait","4.85","PreWait","5.09","PreWait","4.91","PreWait","4.85","PreWait","5.39","PreWait","5.15","PreWait","4.90","PreWait","1.78"
"6.00","PreWait","5.11","PreWait","4.81","PreWait","1.66","PreWait","1.68","PreWait","4.63","PreWait","4.64","PreWait","4.41","PreWait","4.42","PreWait","1.63","PreWait","1.61","PreWait","4.42","PreWait","4.64","PreWait","4.48","PreWait","4.43","PreWait","4.87","PreWait","4.68","PreWait","4.45","PreWait","1.64"
"7.00","PreWait","4.63","PreWait","4.36","PreWait","1.53","PreWait","1.55","PreWait","4.22","PreWait","4.22","PreWait","4.03","PreWait","4.03","PreWait","1.50","PreWait","1.49","PreWait","4.04","PreWait","4.23","PreWait","4.09","PreWait","4.04","PreWait","4.42","PreWait","4.25","PreWait","4.05","PreWait","1.51"
"8.00","PreWait","4.22","PreWait","4.01","PreWait","1.42","PreWait","1.44","PreWait","3.88","PreWait","3.89","PreWait","3.73","PreWait","3.73","PreWait","1.40","PreWait","1.39","PreWait","3.74","PreWait","3.89","PreWait","3.78","PreWait","3.74","PreWait","4.03","PreWait","3.89","PreWait","3.74","PreWait","1.41"
"9.00","PreWait","3.88","PreWait","3.69","PreWait","1.34","PreWait","1.35","PreWait","3.59","PreWait","3.59","PreWait","3.45","PreWait","3.45","PreWait","1.31","PreWait","1.30","PreWait","3.45","PreWait","3.60","PreWait","3.49","PreWait","3.46","PreWait","3.72","PreWait","3.59","PreWait","3.44","PreWait","1.32"
"10.00","PreWait","3.46","PreWait","3.23","PreWait","1.25","PreWait","1.26","PreWait","3.22","PreWait","3.24","PreWait","3.04","PreWait","3.04","PreWait","1.23","PreWait","1.22","PreWait","3.04","PreWait","3.25","PreWait","3.08","PreWait","3.06","PreWait","3.43","PreWait","3.24","PreWait","3.03","PreWait","1.24"
"11.00","PreWait","3.03","PreWait","2.85","PreWait","1.18","PreWait","1.19","PreWait","2.84","PreWait","2.86","PreWait","2.71","PreWait","2.70","PreWait","1.16","PreWait","1.15","PreWait","2.70","PreWait","2.87","PreWait","2.74","PreWait","2.72","PreWait","3.03","PreWait","2.86","PreWait","2.70","PreWait","1.17"
