"Base Lot Name","PJ-5444444444-1"
"Wafer Flow Name","WaferFlow/UPPRD/MY-DATA"
"Recipe Step From","Head"
"Recipe Step To","Tail"

"sec","3_LLS_12-11_VSRA Press.(Pa) [Source]_866_PJ-12311959-1_01","3_LLS_12-11_VSRA Press.(Pa) [Source]_866_PJ-12311959-1_01","3_LLS_12-11_VSRA Press.(Pa) [Source]_866_PJ-12311959-1_02","3_LLS_12-11_VSRA Press.(Pa) [Source]_866_PJ-12311959-1_02","3_LLS_12-11_VSRA Press.(Pa) [Source]_866_PJ-12311959-1_03","3_LLS_12-11_VSRA Press.(Pa) [Source]_866_PJ-12311959-1_03","3_LLS_12-11_VSRA Press.(Pa) [Source]_864_PJ-0305110002-1_01","3_LLS_12-11_VSRA Press.(Pa) [Source]_864_PJ-0305110002-1_01","3_LLS_12-11_VSRA Press.(Pa) [Source]_858_PJ-0304110453-1_01","3_LLS_12-11_VSRA Press.(Pa) [Source]_858_PJ-0304110453-1_01","3_LLS_12-11_VSRA Press.(Pa) [Source]_858_PJ-0304110453-1_02","3_LLS_12-11_VSRA Press.(Pa) [Source]_858_PJ-0304110453-1_02","3_LLS_12-11_VSRA Press.(Pa) [Source]_858_PJ-0304110453-1_03","3_LLS_12-11_VSRA Press.(Pa) [Source]_858_PJ-0304110453-1_03","3_LLS_12-11_VSRA Press.(Pa) [Source]_858_PJ-0304110453-1_04","3_LLS_12-11_VSRA Press.(Pa) [Source]_858_PJ-0304110453-1_04","3_LLS_12-11_VSRA Press.(Pa) [Source]_858_PJ-0304110453-1_05","3_LLS_12-11_VSRA Press.(Pa) [Source]_858_PJ-0304110453-1_05","3_LLS_12-11_VSRA Press.(Pa) [Source]_856_PJ-0304080030-1_01","3_LLS_12-11_VSRA Press.(Pa) [Source]_856_PJ-0304080030-1_01"
"sec","step","valid","step","valid","step","valid","step","valid","step","valid","step","valid","step","valid","step","valid","step","valid","step","valid"
"0.00","PreWait","1.35","PreWait","2.52","PreWait","21.76","PreWait","1.44","PreWait","1.42","PreWait","1.43","PreWait","1.36","PreWait","1.32","PreWait","1.30","PreWait","1.38"
"1.00","PreWait","1.26","PreWait","7.94","PreWait","22.97","PreWait","1.34","PreWait","1.32","PreWait","1.34","PreWait","1.23","PreWait","1.24","PreWait","1.22","PreWait","1.29"
"2.00","PreWait","1.26","PreWait","11.63","PreWait","23.46","PreWait","1.34","PreWait","1.32","PreWait","1.34","PreWait","1.16","PreWait","1.17","PreWait","1.15","PreWait","1.29"
"3.00","PreWait","1.26","PreWait","14.98","PreWait","26.17","PreWait","1.34","PreWait","1.33","PreWait","1.34","PreWait","1.11","PreWait","1.11","PreWait","1.09","PreWait","1.29"
"4.00","PreWait","1.27","PreWait","18.15","PreWait","34.73","PreWait","1.34","PreWait","1.33","PreWait","1.34","PreWait","1.11","PreWait","1.07","PreWait","1.04","PreWait","1.30"
"5.00","PreWait","1.27","PreWait","18.90","PreWait","27.42","PreWait","1.34","PreWait","1.33","PreWait","1.34","PreWait","1.11","PreWait","1.07","PreWait","1.04","PreWait","1.29"
"6.00","PreWait","1.27","PreWait","18.90","PreWait","24.25","PreWait","1.34","PreWait","1.33","PreWait","1.34","PreWait","1.11","PreWait","1.08","PreWait","1.04","PreWait","1.30"
"7.00","PreWait","1.27","PreWait","18.90","PreWait","22.43","PreWait","1.34","PreWait","1.33","PreWait","1.34","PreWait","1.11","PreWait","1.07","PreWait","1.04","PreWait","1.29"
"8.00","PreWait","1.27","PreWait","18.91","PreWait","21.19","PreWait","1.34","PreWait","1.33","PreWait","1.34","PreWait","1.11","PreWait","1.08","PreWait","1.04","PreWait","1.29"
"9.00","PreWait","1.27","PreWait","18.91","PreWait","20.76","PreWait","1.34","PreWait","1.33","PreWait","1.34","PreWait","1.11","PreWait","1.08","PreWait","1.04","PreWait","1.29"
"10.00","PreWait","1.27","PreWait","18.90","PreWait","25.89","PreWait","1.34","PreWait","1.33","PreWait","1.34","PreWait","1.11","PreWait","1.08","PreWait","1.04","PreWait","1.29"
"11.00","PreWait","1.27","PreWait","18.91","PreWait","31.55","PreWait","1.34","PreWait","1.33","PreWait","1.34","PreWait","1.11","PreWait","1.08","PreWait","1.04","PreWait","1.30"
